
> mm-profit@0.1.0 bot
> node bot.js

Target token mint (Gbu7JAKhTVtGyRryg8cYPiKNhonXpUqbrZuCDjfUpump): 2025-12-22 15:38:49 | CONFIG step pct 15,25,60 (total 100%) | alloc 88% -> 0.270361 SOL
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 15:38:49 | WAIT   | -      | -              | -              | 1.19%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:38:54 | WAIT   | -      | -              | -              | 1.19%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:38:59 | WAIT   | -      | -              | -              | 1.19%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:04 | WAIT   | -      | -              | -              | 1.19%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:09 | WAIT   | -      | -              | -              | 0.88%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:14 | WAIT   | -      | -              | -              | 0.88%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:20 | WAIT   | -      | -              | -              | 0.88%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:25 | WAIT   | -      | -              | -              | 0.88%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:30 | WAIT   | -      | -              | -              | 0.88%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:35 | WAIT   | -      | -              | -              | 0.88%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:40 | WAIT   | -      | -              | -              | 1.47%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:45 | WAIT   | -      | -              | -              | 1.47%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:50 | WAIT   | -      | -              | -              | 1.47%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:39:55 | WAIT   | -      | -              | -              | 1.47%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:01 | WAIT   | -      | -              | -              | 1.47%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:06 | WAIT   | -      | -              | -              | 1.47%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:11 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:16 | WAIT   | -      | -              | -              | 1.50%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:21 | WAIT   | -      | -              | -              | 1.25%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:26 | WAIT   | -      | -              | -              | 1.20%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 15:40:32 | WAIT   | -      | -              | -              | 1.20%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:37 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:42 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:47 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:52 | WAIT   | -      | -              | -              | 1.77%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:40:57 | WAIT   | -      | -              | -              | 1.77%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:02 | WAIT   | -      | -              | -              | 1.77%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:08 | WAIT   | -      | -              | -              | 1.24%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:13 | WAIT   | -      | -              | -              | 0.83%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:18 | WAIT   | -      | -              | -              | 0.83%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:23 | WAIT   | -      | -              | -              | 1.18%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:28 | WAIT   | -      | -              | -              | 1.18%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:33 | WAIT   | -      | -              | -              | 1.18%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:38 | WAIT   | -      | -              | -              | 1.18%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:43 | WAIT   | -      | -              | -              | 1.18%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:49 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:54 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:41:59 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:04 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:09 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
time                | mode   | step   | avg            | px             | move       | pos_sol    | trade_pnl  | wallet_pnl | sol_bal   
2025-12-22 15:42:14 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:19 | WAIT   | -      | -              | -              | 1.51%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:24 | WAIT   | -      | -              | -              | 1.51%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:30 | WAIT   | -      | -              | -              | 1.48%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:35 | WAIT   | -      | -              | -              | 2.03%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:40 | WAIT   | -      | -              | -              | 2.35%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:45 | WAIT   | -      | -              | -              | 2.36%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:50 | WAIT   | -      | -              | -              | 1.38%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:42:55 | WAIT   | -      | -              | -              | 1.38%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:43:00 | WAIT   | -      | -              | -              | 1.77%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:43:06 | WAIT   | -      | -              | -              | 1.77%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:43:11 | WAIT   | -      | -              | -              | 1.79%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:43:16 | WAIT   | -      | -              | -              | 1.79%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
2025-12-22 15:43:21 | WAIT   | -      | -              | -              | 1.68%|4.50 | 0.000000   | 0.000000   | 0.000000   | 0.307229  
